tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000125691	28081.2	26664.5	25494.4	22538.8	25817	26194.7	12036.8	13236.1	21310	16256.2
ENSG00000125695	2.20137e-16	5.97183e-13	2.21895e-46	6.65574e-129	5.6444e-22	0.540402	6.06663e-26	1.22127e-16	6.36377e-26	8.06953e-36
ENSG00000125703	817.927	806.478	618.753	619.42	623.484	646.108	341.935	458.074	308.383	340.504
ENSG00000125726	4.85128	9.06155	3.69038	11.8361	29.6897	26.4649	3.51303	2.04497	0	2.09541
ENSG00000125730	171.735	104.208	542.485	579.967	949.347	1103.31	224.834	15.3373	582.033	334.218
ENSG00000125731	880.993	704.988	603.992	381.713	86.8968	85.7826	55.0374	13.2923	2.105	14.6679
ENSG00000125733	1814.38	2011.66	3294.28	3487.69	1726.35	1544.09	1442.68	1629.84	1068.29	1039.32
ENSG00000125734	753.89	794.698	1237.51	1384.82	1651.04	1299.52	1715.53	1697.33	727.278	655.864
ENSG00000125735	0.970257	0	0	0.986338	7.2414	9.12581	2.34202	0	1.0525	2.09541
ENSG00000125740	63.0667	25.3723	79.9582	39.4535	110.069	43.8039	30.4462	35.787	138.93	72.2917
ENSG00000125741	1137.14	1110.04	866.008	852.196	927.623	965.511	1895.86	2129.84	1326.9	987.986
ENSG00000125743	6469.67	6511.63	5881.23	5351.87	5158.05	4780.1	2795.2	3023.49	2678.61	2215.9
ENSG00000125744	475.426	543.693	402.251	446.811	287.483	224.495	1539.88	937.619	156.823	112.104
ENSG00000125746	782.997	512.884	997.632	1294.08	622.036	574.014	515.244	774.022	631.5	418.034
ENSG00000125753	3815.05	4904.11	3258.6	3483.75	2543.9	2254.08	3025.89	2634.95	1617.69	1292.87
ENSG00000125755	2244.2	1850.37	2082.6	2108.79	2034.11	2243.12	1626.53	1470.33	2040.8	1997.97
ENSG00000125772	314.363	311.717	872.159	618.434	978.313	1043.08	1382.96	1930.45	1578.75	2526.02
